year,region,site,ID,species,rep,camtrap.label,week,transect,elevation,lat,long,x,y,z
2017,CNM,Carrizo,179,ephedra,1,179,1,1,670,35.11489,-119.61868,2.78,2.26,1.41
2017,CNM,Carrizo,180,ephedra,2,180,1,1,670,35.11493,-119.6188,4.54,3.38,1.74
2017,CNM,Carrizo,181,ephedra,3,181,1,1,670,35.11472,-119.61887,2.07,2.12,1.16
2017,CNM,Carrizo,182,ephedra,4,182,1,1,670,35.11465,-119.6189,2.73,2.04,0.87
2017,CNM,Carrizo,183,ephedra,5,183,1,1,670,35.11472,-119.619,3.72,3.07,1.34
2017,CNM,Carrizo,184,ephedra,6,184,1,1,670,35.11468,-119.61913,2.97,2.21,0.87
2017,CNM,Carrizo,185,ephedra,7,185,1,1,670,35.11472,-119.61911,1.93,1.97,1.07
2017,CNM,Carrizo,186,ephedra,8,186,1,1,670,35.1148,-119.61909,3.03,2.93,0.84
2017,CNM,Carrizo,187,ephedra,9,187,1,1,670,35.11475,-119.61929,3.53,2.24,1.31
2017,CNM,Carrizo,188,ephedra,10,188,1,1,670,35.11494,-119.61923,4.02,2.48,1.26
2017,CNM,Carrizo,204,ephedra,1,204,2,2,670,35.11515,-119.61954,3.64,3.03,1.19
2017,CNM,Carrizo,205,ephedra,2,205,2,2,670,35.11504,-119.61957,3.14,3.04,1.04
2017,CNM,Carrizo,206,ephedra,3,206,2,2,670,35.11493,-119.61953,2.12,1.89,0.98
2017,CNM,Carrizo,207,ephedra,4,207,2,2,670,35.11488,-119.61971,3.58,2.83,1.08
2017,CNM,Carrizo,208,ephedra,5,208,2,2,670,35.11501,-119.61988,3.97,3.74,1.27
2017,CNM,Carrizo,209,ephedra,6,209,2,2,670,35.11507,-119.61996,3.62,3.83,1.53
2017,CNM,Carrizo,210,ephedra,7,210,2,2,670,35.11516,-119.62006,3.44,2.82,1.13
2017,CNM,Carrizo,211,ephedra,8,211,2,2,670,35.11526,-119.61982,1.68,1.88,1.02
2017,CNM,Carrizo,212,ephedra,9,212,2,2,670,35.11532,-119.6198,2.61,2.91,1.38
2017,CNM,Carrizo,213,ephedra,10,213,2,2,670,35.11542,-119.61977,2.82,2.16,0.98
2017,CNM,Carrizo,379,ephedra,1,379,3,3,670,35.11548,-119.61973,3.34,2.98,1.56
2017,CNM,Carrizo,378,ephedra,2,378,3,3,670,35.11543,-119.6199,2.15,2.14,1.09
2017,CNM,Carrizo,377,ephedra,3,377,3,3,670,35.11537,-119.61993,1.06,1.22,0.81
2017,CNM,Carrizo,376,ephedra,4,376,3,3,670,35.11543,-119.61998,2.65,2.52,0.84
2017,CNM,Carrizo,375,ephedra,5,375,3,3,670,35.11547,-119.61999,1.41,1.8,1.01
2017,CNM,Carrizo,374,ephedra,6,374,3,3,670,35.11551,-119.62013,1.76,1.68,1.16
2017,CNM,Carrizo,373,ephedra,7,373,3,3,670,35.11554,-119.62028,3.47,2.41,1.12
2017,CNM,Carrizo,372,ephedra,8,372,3,3,670,35.11546,-119.62037,1.08,1.01,0.86
2017,CNM,Carrizo,371,ephedra,9,371,3,3,670,35.11543,-119.62035,2.51,2.52,1.16
2017,CNM,Carrizo,370,ephedra,10,370,3,3,670,35.11539,-119.62036,1.59,1.75,1.84
