year,recorder,file.name,total.duration.mins,region,site,date,week,day,rep,microsite,video,animal.hit,RTU,time.block,actual.time,start,stop,behavior,observation
2018,mario,10010001,,CNM,Carrizo,43231,1,1,1,shrub,1,1,human,AM,9:37,,,walking,
2018,mario,10010002,,CNM,Carrizo,43231,1,1,1,shrub,2,0,none,AM,,,,,
2018,mario,10010003,,CNM,Carrizo,,1,1,1,shrub,3,0,none,AM,,,,,
2018,mario,10010004,,CNM,Carrizo,,1,1,1,shrub,4,0,none,AM,,,,,
2018,mario,10010005,,CNM,Carrizo,,1,1,1,shrub,5,1,unidentifiable,AM,1:29,,,hopping,
2018,mario,10010006,,CNM,Carrizo,,1,1,1,shrub,6,1,unidentifiable,AM,1:29,,,walking,tail moving in bottom left corner
2018,mario,10010007,,CNM,Carrizo,,1,1,1,shrub,7,1,unidentifiable,AM,1:31,,,walking,small body bottom of video
2018,mario,10010008,,CNM,Carrizo,,1,1,1,shrub,8,0,none,AM,,,,,
2018,mario,10010009,,CNM,Carrizo,,1,1,1,shrub,9,1,rat (Kangaroo rat?),AM,1:32,,,walking,
2018,mario,10010010,,CNM,Carrizo,,1,1,1,shrub,10,0,none,AM,,,,,
2018,mario,10010011,,CNM,Carrizo,,1,1,1,shrub,11,1,unidentifiable,AM,1:35,,,moving,
2018,mario,10010012,,CNM,Carrizo,,1,1,1,shrub,12,0,none,AM,,,,,
2018,mario,10010013,,CNM,Carrizo,,1,1,1,shrub,13,1,unidentifiable,AM,1:37,,,moving,
2018,mario,10010014,,CNM,Carrizo,,1,1,1,shrub,14,0,none,AM,,,,,
2018,mario,10010015,,CNM,Carrizo,,1,1,1,shrub,15,0,none,AM,,,,,
2018,mario,10010016,,CNM,Carrizo,,1,1,1,shrub,16,1,rabbit,AM,1:40,1:40:09,1:40:10,moving,hops into view of camera
2018,mario,10010017,,CNM,Carrizo,,1,1,1,shrub,17,1,unidentifiable,AM,1:40,1:40:16,1:40:17,moving,moves out of view
2018,mario,10010018,,CNM,Carrizo,,1,1,1,shrub,18,0,none,AM,,,,,
2018,mario,10010019,,CNM,Carrizo,,1,1,1,shrub,19,0,none,AM,,,,,
2018,mario,10010020,,CNM,Carrizo,,1,1,1,shrub,20,0,none,AM,,,,,
2018,mario,10010021,,CNM,Carrizo,,1,1,1,shrub,21,0,none,AM,,,,,
2018,mario,10010022,,CNM,Carrizo,,1,1,1,shrub,22,0,none,AM,,,,,
2018,mario,10010023,,CNM,Carrizo,,1,1,1,shrub,23,0,none,AM,,,,,
2018,mario,10010024,,CNM,Carrizo,,1,1,1,shrub,24,0,none,AM,,,,,
2018,mario,10010025,,CNM,Carrizo,,1,1,1,shrub,25,1,unidentifiable,AM,1:47,1:47:51,1:47:53,moving,movement at bottom left of video
2018,mario,10010026,,CNM,Carrizo,,1,1,1,shrub,26,0,none,AM,,,,,
2018,mario,10010027,,CNM,Carrizo,,1,1,1,shrub,27,1,rabbit,AM,1:49,1:49:40,1:49:42,walking,hops out of view of camera
2018,mario,10010028,,CNM,Carrizo,,1,1,1,shrub,28,0,none,AM,,,,,
2018,mario,10010029,,CNM,Carrizo,,1,1,1,shrub,29,1,human,AM,1:51,,,walking,time stamps are off
2018,mario,10010001,,CNM,Carrizo,14-May,2,1,1,shrub,30,0,none,AM,,,,,camera was knocked up by animal only 1 photo for this set
2018,mario,10010001,,CNM,Carrizo,17-May,3,1,1,shrub,31,1,human,AM,2:13,,,working,setting up camera
2018,mario,10010002,,CNM,Carrizo,17-May,3,1,1,shrub,32,0,none,AM,,,,,
2018,mario,10010003,,CNM,Carrizo,17-May,3,1,1,shrub,33,0,none,AM,,,,,
2018,mario,10010004,,CNM,Carrizo,17-May,3,1,1,shrub,34,0,none,AM,,,,,
2018,mario,10010005,,CNM,Carrizo,17-May,3,1,1,shrub,35,0,none,AM,,,,,
2018,mario,10010006,,CNM,Carrizo,17-May,3,1,1,shrub,36,0,none,AM,,,,,
2018,mario,10010007,,CNM,Carrizo,17-May,3,1,1,shrub,37,0,none,AM,,,,,
2018,mario,10010008,,CNM,Carrizo,17-May,3,1,1,shrub,38,0,none,AM,,,,,
2018,mario,10010009,,CNM,Carrizo,17-May,3,1,1,shrub,39,0,none,AM,,,,,
2018,mario,10010010,,CNM,Carrizo,17-May,3,1,1,shrub,40,0,none,AM,,,,,
2018,mario,10010011,,CNM,Carrizo,17-May,3,1,1,shrub,41,0,none,AM,,,,,
2018,mario,10010012,,CNM,Carrizo,17-May,3,1,1,shrub,42,0,none,AM,,,,,
2018,mario,10010013,,CNM,Carrizo,17-May,3,1,1,shrub,43,0,none,AM,,,,,
2018,mario,10010014,,CNM,Carrizo,17-May,3,1,1,shrub,44,0,none,AM,,,,,
2018,mario,10010015,,CNM,Carrizo,17-May,3,1,1,shrub,45,0,none,AM,,,,,
2018,mario,10010016,,CNM,Carrizo,17-May,3,1,1,shrub,46,0,none,AM,,,,,
2018,mario,10010017,,CNM,Carrizo,,3,1,1,shrub,47,0,none,AM,,,,,
2018,mario,10010018,,CNM,Carrizo,,3,1,1,shrub,48,0,none,AM,,,,,
2018,mario,10010019,,CNM,Carrizo,,3,1,1,shrub,49,0,none,AM,,,,,
2018,mario,10010020,,CNM,Carrizo,,3,1,1,shrub,50,0,none,AM,,,,,
2018,mario,10010021,,CNM,Carrizo,,3,1,1,shrub,51,0,none,AM,,,,,
2018,mario,10010022,,CNM,Carrizo,,3,1,1,shrub,52,0,none,AM,,,,,
2018,mario,10010023,,CNM,Carrizo,,3,1,1,shrub,53,0,none,AM,,,,,
2018,mario,10010024,,CNM,Carrizo,,3,1,1,shrub,54,0,none,AM,,,,,
2018,mario,10010025,,CNM,Carrizo,,3,1,1,shrub,55,0,none,AM,,,,,
2018,mario,10010026,,CNM,Carrizo,,3,1,1,shrub,56,0,none,AM,,,,,
2018,mario,10010027,,CNM,Carrizo,,3,1,1,shrub,57,0,none,AM,,,,,
2018,mario,10010028,,CNM,Carrizo,,3,1,1,shrub,58,0,none,AM,,,,,
2018,mario,10010029,,CNM,Carrizo,,3,1,1,shrub,59,0,none,AM,,,,,
2018,mario,10010030,,CNM,Carrizo,,3,1,1,shrub,60,0,none,AM,,,,,
